Назва,Категорія,Ціна,Кількість,Рейтинги,Постачальник,Дата,Знижка
"Шоколад Milka","Продукти",89,890,"4.5 4.6 4.4 4.5","Mondelez","2024-01-12",5
"Олія оливкова Monini","Продукти",299,456,"4.6 4.7 4.5 4.6","Monini","2024-01-18",10
"Макарони Barilla","Продукти",79,1234,"4.4 4.5 4.3 4.4","Barilla","2024-01-22",0
"Сир Parmigiano Reggiano","Продукти",899,123,"4.8 4.9 4.7 4.8","Consorzio","2024-02-02",0
"Мед натуральний","Продукти",249,345,"4.7 4.6 4.7 4.8","Медова ферма","2024-02-08",0
"Чай Lipton","Продукти",159,678,"4.3 4.4 4.2 4.3","Unilever","2024-02-14",8
"Печиво Oreo","Продукти",65,1456,"4.5 4.6 4.4 4.5","Mondelez","2024-02-18",5
"Сік Rich","Продукти",45,789,"4.2 4.3 4.1 4.2","Coca-Cola","2024-02-25",0
"Йогурт Activia","Продукти",39,567,"4.4 4.5 4.3 4.4","Danone","2024-03-03",7
"Диван IKEA EKTORP","Меблі",15999,23,"4.6 4.7 4.5 4.6","IKEA","2024-01-08",15
"Стіл офісний IKEA","Меблі",5999,45,"4.5 4.6 4.4 4.5","IKEA","2024-01-16",10
"Крісло геймерське DXRacer","Меблі",12999,34,"4.7 4.8 4.6 4.7","DXRacer","2024-01-24",20
"Шафа-купе","Меблі",22999,12,"4.5 4.4 4.5 4.6","Forte","2024-02-06",25
"Ліжко двоспальне","Меблі",18999,18,"4.6 4.7 4.5 4.6","Ashley Furniture","2024-02-11",18
"Комод IKEA MALM","Меблі",4999,67,"4.5 4.6 4.4 4.5","IKEA","2024-02-19",12
"Полиця книжкова","Меблі",2999,89,"4.3 4.4 4.2 4.3","IKEA","2024-02-26",15
"Стілець барний","Меблі",1999,123,"4.4 4.5 4.3 4.4","Jysk","2024-03-04",10
"Тумба під ТВ","Меблі",6999,45,"4.5 4.6 4.4 4.5","BoConcept","2024-03-11",20
"Дзеркало настінне","Меблі",1499,156,"4.4 4.3 4.4 4.5","IKEA","2024-03-16",8
"Шампунь Head & Shoulders","Косметика",189,456,"4.5 4.6 4.4 4.5","Procter & Gamble","2024-01-07",10
"Крем для обличчя Nivea","Косметика",249,678,"4.6 4.7 4.5 4.6","Beiersdorf","2024-01-14",15
"Помада L'Oreal","Косметика",299,234,"4.4 4.5 4.3 4.4","L'Oreal","2024-01-21",20
"Парфуми Chanel No.5","Косметика",4999,45,"4.9 4.8 4.9 4.7","Chanel","2024-01-28",0
"Гель для душу Dove","Косметика",159,567,"4.5 4.6 4.4 4.5","Unilever","2024-02-04",12
"Маска для волосся Pantene","Косметика",219,345,"4.6 4.5 4.6 4.7","Procter & Gamble","2024-02-13",10
"Тональний крем Maybelline","Косметика",349,178,"4.4 4.5 4.3 4.4","L'Oreal","2024-02-21",18
"Дезодорант Rexona","Косметика",89,789,"4.3 4.4 4.2 4.3","Unilever","2024-02-28",8
"Лак для нігтів OPI","Косметика",299,156,"4.6 4.7 4.5 4.6","OPI Products","2024-03-07",15
"Крем для рук Neutrogena","Косметика",179,234,"4.5 4.6 4.4 4.5","Johnson & Johnson","2024-03-14",10
"М'яч футбольний Adidas","Спорт",899,123,"4.7 4.8 4.6 4.7","Adidas AG","2024-01-11",15
"Ракетка тенісна Wilson","Спорт",3999,45,"4.8 4.7 4.8 4.9","Wilson Sporting","2024-01-19",10
"Гантелі 10кг","Спорт",1499,89,"4.5 4.6 4.4 4.5","Torneo","2024-01-27",20
"Велосипед гірський Giant","Спорт",24999,12,"4.7 4.8 4.6 4.7","Giant Manufacturing","2024-02-03",5
"Коврик для йоги","Спорт",699,234,"4.6 4.5 4.6 4.7","Manduka","2024-02-09",12
"Рюкзак The North Face","Спорт",3499,67,"4.7 4.6 4.7 4.8","The North Face","2024-02-16",18
"Пляшка спортивна","Спорт",299,456,"4.4 4.5 4.3 4.4","Contigo","2024-02-22",10
"Скейтборд","Спорт",2999,34,"4.5 4.6 4.4 4.5","Element","2024-03-02",15
"Ролики Rollerblade","Спорт",4999,23,"4.6 4.7 4.5 4.6","Rollerblade","2024-03-09",20
"М'яч баскетбольний Spalding","Спорт",1299,78,"4.7 4.8 4.6 4.7","Spalding","2024-03-17",12
"Пилосос Dyson V15","Побутова техніка",19999,34,"4.8 4.9 4.7 4.8","Dyson","2024-01-13",10
"Мікрохвильовка Samsung","Побутова техніка",3999,67,"4.5 4.6 4.4 4.5","Samsung Electronics","2024-01-17",15
"Холодильник LG","Побутова техніка",24999,23,"4.7 4.8 4.6 4.7","LG Electronics","2024-01-23",8
"Пральна машина Bosch","Побутова техніка",18999,18,"4.8 4.7 4.8 4.9","Bosch","2024-01-29",12
"Мультиварка Philips","Побутова техніка",2999,89,"4.6 4.7 4.5 4.6","Philips","2024-02-07",20
"Чайник електричний Tefal","Побутова техніка",899,234,"4.5 4.6 4.4 4.5","Groupe SEB","2024-02-12",10
"Праска Rowenta","Побутова техніка",1999,123,"4.4 4.5 4.3 4.4","Groupe SEB","2024-02-17",15
"Блендер Braun","Побутова техніка",2499,78,"4.6 4.5 4.6 4.7","Braun","2024-02-23",18
"Кавоварка Delonghi","Побутова техніка",8999,45,"4.7 4.8 4.6 4.7","De'Longhi","2024-03-05",10
"Витяжка Ventolux","Побутова техніка",5999,34,"4.5 4.6 4.4 4.5","Ventolux","2024-03-13",12
"Лампа настільна LED","Освітлення",799,345,"4.4 4.5 4.3 4.4","Philips","2024-01-09",15
"Люстра класична","Освітлення",3999,45,"4.6 4.7 4.5 4.6","Eglo","2024-01-26",20
"Світлодіодна стрічка","Освітлення",599,234,"4.5 4.6 4.4 4.5","Xiaomi","2024-02-10",10
"Бра настінний","Освітлення",1299,89,"4.4 4.3 4.4 4.5","Eglo","2024-02-24",18
"Торшер підлоговий","Освітлення",2499,67,"4.5 4.6 4.4 4.5","IKEA","2024-03-06",12
"Розумна лампа Xiaomi","Освітлення",899,156,"4.7 4.8 4.6 4.7","Xiaomi","2024-03-15",8
"Ліхтарик кишеньковий","Освітлення",299,456,"4.3 4.4 4.2 4.3","Olight","2024-03-19",10
"Світильник нічний","Освітлення",399,234,"4.4 4.5 4.3 4.4","IKEA","2024-03-21",15
"Прожектор LED","Освітлення",1499,78,"4.6 4.5 4.6 4.7","Philips","2024-03-23",20
"Свічки ароматичні Yankee","Освітлення",699,123,"4.5 4.6 4.4 4.5","Yankee Candle","2024-03-25",5
"Гітара акустична Yamaha","Музика",8999,23,"4.8 4.7 4.8 4.9","Yamaha","2024-02-01",10
"Навушники Beats","Електроніка",8999,67,"4.6 4.7 4.5 4.6","Apple Inc.","2024-02-15",15
"Годинник Casio","Аксесуари",2999,89,"4.5 4.6 4.4 4.5","Casio","2024-03-01",12
"Сумка Michael Kors","Аксесуари",12999,34,"4.7 4.8 4.6 4.7","Capri Holdings","2024-03-10",20
"Окуляри Ray-Ban","Аксесуари",4999,56,"4.8 4.9 4.7 4.8","Luxottica","2024-03-18",8
"Парасолька автомат","Аксесуари",599,234,"4.3 4.4 4.2 4.3","Zest","2024-03-20",10
"Гаманець шкіряний","Аксесуари",1299,123,"4.5 4.6 4.4 4.5","Bellroy","2024-03-22",15
"Ремінь Hugo Boss","Аксесуари",2499,78,"4.6 4.7 4.5 4.6","Hugo Boss","2024-03-24",18
"Шарф кашеміровий","Аксесуари",3999,45,"4.7 4.6 4.7 4.8","Burberry","2024-03-25",25
"Рукавички шкіряні","Аксесуари",1499,67,"4.4 4.5 4.3 4.4","Tommy Hilfiger","2024-03-26",20
