Назва,Режисер,Рік,Рейтинги,Жанр,Тривалість,Бюджет,Касові збори
"Modern Times","Чарлі Чаплін",1936,"8.5 8.4 8.6",Комедія,87,1.5,0.2
"Psycho","Альфред Хічкок",1960,"8.5 8.4 8.6",Трилер,109,0.8,50
"The Pianist","Роман Поланскі",2002,"8.5 8.4 8.6 8.3",Драма,150,35,120
"Parasite","Пон Джун Хо",2019,"8.5 8.6 8.4",Трилер,132,11.4,258
"Léon: The Professional","Люк Бессон",1994,"8.5 8.4 8.6",Бойовик,110,16,45
"Alien","Рідлі Скотт",1979,"8.4 8.5 8.3",Жахи,117,11,185
"City Lights","Чарлі Чаплін",1931,"8.5 8.4 8.6",Комедія,87,1.5,5.4
"Sunset Boulevard","Біллі Вайлдер",1950,"8.4 8.5 8.3",Драма,110,1.8,5
"Dr. Strangelove","Стенлі Кубрик",1964,"8.4 8.5 8.3",Комедія,95,1.8,9.4
"Apocalypse Now","Френсіс Форд Коппола",1979,"8.4 8.5 8.3 8.2",Війна,147,31,150
"Memento","Крістофер Нолан",2000,"8.4 8.3 8.5",Трилер,113,9,40
"The Great Dictator","Чарлі Чаплін",1940,"8.4 8.3 8.5",Комедія,125,2,0.7
"The Lives of Others","Флоріан Генкель",2006,"8.4 8.3 8.5",Трилер,137,2,77
"Grave of the Fireflies","Ісао Такахата",1988,"8.5 8.4 8.6",Аніме,89,3.7,0.8
"Paths of Glory","Стенлі Кубрик",1957,"8.4 8.3 8.5",Війна,88,0.9,0.4
"Django Unchained","Квентін Тарантіно",2012,"8.4 8.3 8.5 8.2",Вестерн,165,100,425
"The Shining","Стенлі Кубрик",1980,"8.4 8.3 8.5",Жахи,146,19,47
"WALL-E","Ендрю Стентон",2008,"8.4 8.3 8.5",Анімація,98,180,533
"Avengers: Infinity War","Ентоні Руссо",2018,"8.4 8.3 8.5 8.2",Бойовик,149,321,2048
"Coco","Лі Ункріч",2017,"8.4 8.3 8.5",Анімація,105,175,807
"Princess Mononoke","Хаяо Міядзакі",1997,"8.4 8.3 8.5",Аніме,134,23.5,169
"Oldboy","Пак Чхан Ук",2003,"8.4 8.3 8.5",Трилер,120,3,15
"Once Upon a Time in America","Серджіо Леоне",1984,"8.3 8.4 8.2",Кримінал,229,30,5.3
"Witness for the Prosecution","Біллі Вайлдер",1957,"8.4 8.3 8.5",Драма,116,3,7
"Braveheart","Мел Гібсон",1995,"8.3 8.4 8.2 8.3",Війна,178,72,213
"Amadeus","Мілош Форман",1984,"8.3 8.4 8.2",Драма,160,18,90
"Toy Story","Джон Лассетер",1995,"8.3 8.2 8.4",Анімація,81,30,394
"Toy Story 3","Лі Ункріч",2010,"8.3 8.2 8.4",Анімація,103,200,1067
"Das Boot","Вольфганг Петерсен",1981,"8.3 8.4 8.2",Війна,149,14.5,84.9
"Joker","Тодд Філліпс",2019,"8.4 8.3 8.5 8.2",Драма,122,55,1074
"Inglourious Basterds","Квентін Тарантіно",2009,"8.3 8.2 8.4",Війна,153,70,321
"3 Idiots","Раджкумар Хірані",2009,"8.4 8.3 8.5",Комедія,170,6.5,90
"Good Will Hunting","Гас Ван Сент",1997,"8.3 8.2 8.4",Драма,126,10,226
"Requiem for a Dream","Даррен Аронофскі",2000,"8.3 8.2 8.4 8.1",Драма,102,4.5,7.4
"Reservoir Dogs","Квентін Тарантіно",1992,"8.3 8.2 8.4",Кримінал,99,1.2,14.6
"Eternal Sunshine of the Spotless Mind","Мішель Гондрі",2004,"8.3 8.2 8.4",Романтика,108,20,74
"Citizen Kane","Орсон Веллс",1941,"8.3 8.4 8.2",Драма,119,0.8,1.6
"Full Metal Jacket","Стенлі Кубрик",1987,"8.3 8.2 8.4",Війна,116,30,120
"Bicycle Thieves","Вітторіо Де Сіка",1948,"8.3 8.4 8.2",Драма,89,0.1,0.4
"The Kid","Чарлі Чаплін",1921,"8.3 8.2 8.4",Комедія,68,0.3,5.5
"Singin' in the Rain","Стенлі Донен",1952,"8.3 8.2 8.4",Мюзикл,103,2.5,7.7
"The Sting","Джордж Рой Гілл",1973,"8.3 8.2 8.4",Комедія,129,5.5,156
"Snatch","Гай Річі",2000,"8.3 8.2 8.4 8.1",Комедія,104,10,83.6
"Monty Python and the Holy Grail","Террі Гілліам",1975,"8.2 8.3 8.1",Комедія,91,0.4,5
"L.A. Confidential","Кертіс Хенсон",1997,"8.2 8.3 8.1",Кримінал,138,35,126
"For a Few Dollars More","Серджіо Леоне",1965,"8.2 8.1 8.3",Вестерн,132,0.6,15
"The Apartment","Біллі Вайлдер",1960,"8.2 8.3 8.1",Комедія,125,3,25
"Scarface","Браян Де Пальма",1983,"8.2 8.1 8.3 8.0",Кримінал,170,25,66
"Metropolis","Фріц Ланг",1927,"8.2 8.3 8.1",Фантастика,153,5,1.3
"A Clockwork Orange","Стенлі Кубрик",1971,"8.2 8.3 8.1",Фантастика,136,2.2,27
"Jaws","Стівен Спілберг",1975,"8.0 8.1 7.9 8.0",Трилер,124,7,470
"Toy Story 4","Джош Кулі",2019,"7.7 7.8 7.6",Анімація,100,200,1073
"The Sixth Sense","М. Найт Шамалан",1999,"8.1 8.2 8.0 7.9",Трилер,107,40,672
"Indiana Jones: Raiders of the Lost Ark","Стівен Спілберг",1981,"8.4 8.5 8.3",Пригоди,115,20,389
"Up","Піт Доктер",2009,"8.2 8.3 8.1",Анімація,96,175,735
"Inside Out","Піт Доктер",2015,"8.1 8.2 8.0 7.9",Анімація,95,175,858
"Ratatouille","Бред Берд",2007,"8.0 8.1 7.9",Анімація,111,150,623
"The Truman Show","Пітер Вір",1998,"8.1 8.0 8.2 7.9",Драма,103,60,264
"Dead Poets Society","Пітер Вір",1989,"8.1 8.0 8.2",Драма,128,16.4,235
"Gran Torino","Клінт Іствуд",2008,"8.1 8.0 8.2 7.9",Драма,116,33.2,270
"Shutter Island","Мартін Скорсезе",2010,"8.1 8.2 8.0",Трилер,138,80,294
"The Grand Budapest Hotel","Вес Андерсон",2014,"8.1 8.0 8.2",Комедія,99,25,174
"Catch Me If You Can","Стівен Спілберг",2002,"8.1 8.0 8.2 7.9",Драма,141,52,352
